"jobtitle","company","location","salary","companysize","companyrating","summary"
"Python Backend Engineer","Blackwood Seven","Playa Vista, CA","NA",nan,nan,"NA"
"Enterprise Data Architect","Do it Best Corp.","Fort Wayne, IN 46803 (East Side area)","NA",14,41.4,"Experience with Machine Learning and Artificial Intelligence. Additionally the will be the champion for Business Intelligence initiatives...."
"Director, Product Marketing","Cogito Corporation","Boston, MA 02109 (Central area)","NA",nan,nan,"NA"
"Supply Chain Associate","Innovari","Portland, OR","NA",nan,nan,"NA"
"Product Manager (Experienced)","Tailwind","New York, NY 10001 (Chelsea area)","NA",10,39.0,"'Marketing' is among the most rapidly changing industries, with social media, machine learning and artificial intelligence disrupting how companies engage with..."
"Data Scientist","Microsoft","Redmond, WA 98052","NA",nan,52.2,"Currently we are expanding our team to support projects that focus on Artificial Intelligence and Cognitive analytics...."
"SOFTWARE ENGINEER","Microsoft","Bellevue, WA","NA",nan,52.2,"NA"
"Backend Engineer","Workbridge Associates","Irvine, CA","$120,000 - $180,000 a year",32,40.8,"Are you a Backend engineer looking to join a growing Artificial Intelligence start-up where you can be one of the first to join?..."
"Software Engineer, Virtual Reality, YouTube","Google","San Bruno, CA","NA",nan,52.8,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking..."
"Student Experience Coordinator","Udacity, Inc.","Mountain View, CA 94040","NA",6,55.8,"We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
