"jobtitle","company","location","salary","companysize","companyrating","summary"
"Artificial Intelligence Engineer - Dialog","Interactions LLC","New York, NY 10002 (Lower East Side area)","NA",38,40.2,"NA"
"Content Editor/Copywriter (Contract to hire)","i.am+","Los Angeles, CA","NA",nan,nan,"Our vision is to create a community of creatives and engineers that believe through music and technology as the first step, we can usher in a powerful new era..."
"Software Engineer, Sensors, Google Hardware","Google","Mountain View, CA","NA",nan,52.8,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking..."
"Junior Social Editor (IN-HOUSE OR REMOTE)","Futurism","Brooklyn, NY","NA",nan,nan,"Coverage topics include artificial intelligence, robotics, space exploration, virtual reality, and much more...."
"Software Engineer, Machine Learning, USA","Cortical.io","New York, NY","NA",nan,nan,"A permanent position with Cortical.io, a leading startup that lives and breathes Artificial Intelligence (AI) and Natural Language Processing (NLP) and which..."
"Software Engineer","Google","Kirkland, WA","NA",nan,52.8,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking..."
"Data Analyst Intern","Ubisoft","San Francisco, CA 94107 (South Of Market area)","NA",124,51.0,"NA"
"Technical Solutions Professional","Microsoft","Pittsburgh, PA 15212","NA",nan,52.2,"Being part of this team will allow you to maintain and develop your deep technical expertise & thought leadership across Microsoft & Open Source Advanced..."
"Research Staff Member","IBM","Yorktown Heights, NY","NA",nan,51.0,"Applications of artificial intelligence in distributed systems, and accelerated cognitive services. Advanced knowledge of artificial intelligence computing..."
"Writer","Udacity, Inc.","Mountain View, CA 94040","NA",6,55.8,"We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and..."
"Deep Learning Engineer","Nauto","Palo Alto, CA","NA",nan,nan,"NA"
"Customer Engagement Manager","General Electric","Boston, MA 02212 (Central area)","NA",nan,51.6,"We are looking for a Customer Engagement Manager to work with key Artificial Intelligence(AI), Deep Learning(DL) Clinical Partnership accounts to drive the..."
"Innovation Architect, Learning & Development","Facebook","Menlo Park, CA","NA",189,52.2,"Experience with virtual reality, augmented reality, artificial intelligence and machine learning. Facebook's mission is to give people the power to build..."
"Visiting Scientist, Sabbatical (AI)","Facebook","Menlo Park, CA","NA",189,52.2,"Facebook is seeking Visiting Scientists to join our Facebook Artificial Intelligence Research team. Facebook's mission is to give people the power to build..."
"NLP Developer","Ai Software","St. Louis, MO","NA",nan,nan,"Ai Software is building an artificial intelligence platform to transform the modern workforce. Ai Software engineers enjoy the opportunity and benefits of..."
"Watson Software Engineer -- Cloud Services & Machine Learnin...","IBM","Denver, CO 80237 (Southeastern Denver area)","NA",nan,51.0,"It is an exciting time to join IBM Watson & Cloud Platform in the Artificial Intelligence space. IBM is on the forefront of cloud and the leader of Hybrid Cloud..."
"Multimedia Software Safety Architect","NVIDIA","Santa Clara, CA","NA",137,52.2,"We are the leading artificial intelligence computing company and are paving the way with innovations in self-driving cars, machine learning, supercomputing,..."
"Senior Product Manager, New Products and Innovation","Adobe","San Jose, CA","NA",328,52.2,"NA"
"Project Coordinator (Contract)","Udacity, Inc.","San Francisco, CA","NA",6,55.8,"These projects are integral parts of our Nanodegree programs, covering areas such as Artificial Intelligence, Autonomous Systems, and more ...."
"Computer Vision Research Engineer","Intellipro Group Inc.","San Jose, CA 95134 (North San Jose area)","NA",nan,nan,"Produce Intellectual property in the general area of artificial intelligence and/or autonomous driving; Job Tasks and Responsibilities:...."
"Administrative Assistant","ZT Systems","Secaucus, NJ 07094","NA",23,32.4,"NA"
"Senior Machine Learning and Compiler Engineer","NVIDIA","Austin, TX","NA",137,52.2,"NA"
"Senior Program Manager","Microsoft","Bellevue, WA","NA",nan,52.2,"NA"
"Mapping and Localization Research Engineer","Intellipro Group Inc.","San Jose, CA 95134 (North San Jose area)","NA",nan,nan,"NA"
"Data Modeler","Scienaptic Systems Inc","New York, NY","NA",nan,nan,"NA"
"Marketing Assistant/Receptionist","Hanhai Studio","Burbank, CA","NA",nan,nan,"NA"
"Research Scientist","Adobe","San Jose, CA","NA",328,52.2,"NA"
"Artificial Intelligence - Team Lead and Developer","Aira Tech Corp","San Diego, CA","NA",nan,nan,"NA"
"Senior Frontend Developer","Intelletec","New York, NY 10001 (Chelsea area)","$120,000 - $140,000 a year",nan,nan,"NA"
"Deep Learning Scientist","Oben","Pasadena, CA","NA",nan,nan,"NA"
"Software Engineer, Firmware, Consumer Hardware","Google","Mountain View, CA","NA",nan,52.8,"NA"
"Sr. VP of Research","Huawei","Bridgewater, NJ","NA",nan,43.8,"NA"
"Junior Visual Designer","MARKMONITOR","Boise, ID 83713 (West Valley area)","NA",6,43.2,"NA"
"Data Scientist","Uptake","Chicago, IL","NA",2,51.0,"NA"
"3D Character Animation Programmer, Machine Learning","Carnegie Mellon University","Pittsburgh, PA","NA",135,52.8,"NA"
"Siri Text-to-Speech Software Engineer","Apple","Santa Clara Valley, CA","NA",nan,52.2,"NA"
"Data Scientist 3 with CACI International Inc","CACI International Inc","North Charleston, SC","NA",nan,44.4,"NA"
"Data Science Platform Developer","Iodine Software","Austin, TX 78759 (Arboretum area)","NA",nan,nan,"NA"
"Post-Doctoral Researcher, Artificial Intelligence","IBM","United States","NA",nan,51.0,"NA"
"Linguistic Engineer / Applied Linguist","Aspect Software Inc","Chelmsford, MA 01824","NA",4,54.0,"Our ability to think big has enabled us to continually evolve and lead the market, and to stay on the forefront with exciting technologies including cloud,..."
"Front End Software Engineer","Google","New York, NY 10011 (Chelsea area)","NA",nan,52.8,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking..."
"Research Summer Intern","IBM","United States","NA",nan,51.0,"Cognitive computing and augmented intelligence; We have many internships available and are seeking highly motivated students with a background in computer..."
"Data Scientist","Burgeon IT Services","Houston, TX","NA",nan,nan,"Minimum 8 years of relevant experience in applying data mining, artificial intelligence, signal processing, machine learning, optimization etc. in business..."
"Research Intern (AI)","Facebook","Menlo Park, CA","NA",189,52.2,"We are committed to advancing the field of artificial intelligence by making fundamental advances in technologies to help interact with and understand our world..."
"Senior Product Manager","Cylance, Inc.","Portland, OR 97204 (Downtown area)","NA",6,52.2,"By successfully applying artificial intelligence and machine learning to crack the DNA of malware, Cylance has redefined the endpoint protection market,..."
"Research Scientist--Computer Vision & Machine Learning","Hikvision USA Inc.","Santa Clara, CA","NA",nan,nan,"HRA has the Artificial Intelligence, Big Data, and Technology Partnership teams at this location. Its Research Institute accumulates over a decade R&D..."
"Technology Analyst / Research Engineer","Intellipro Group Inc.","Santa Clara, CA 95050","NA",nan,nan,"Global view of technology markets and industry trends around emerging technologies, including blockchain, networking, cloud computing, AR/VR, artificial..."
"Data Analyst","Mitek Systems","San Diego, CA","NA",nan,nan,"MITK) - a leading Cloud-business innovator in Artificial Intelligence and Machine Learning that simplify everyday tasks - is seeking qualified candidates for a..."
